AÑO	MES	DIA	HORA	NM[cm]
1999	01	01	00	103
1999	01	01	01	66
1999	01	01	02	32
1999	01	01	03	12
1999	01	01	04	6
1999	01	01	05	16
1999	01	01	06	37
1999	01	01	07	67
1999	01	01	08	90
1999	01	01	09	106
1999	01	01	10	109
1999	01	01	11	96
1999	01	01	12	74
1999	01	01	13	48
1999	01	01	14	24
1999	01	01	15	10
1999	01	01	16	14
1999	01	01	17	31
1999	01	01	18	65
1999	01	01	19	100
1999	01	01	20	132
1999	01	01	21	158
1999	01	01	22	170
1999	01	01	23	162
1999	01	02	00	134
1999	01	02	01	101
1999	01	02	02	64
1999	01	02	03	31
1999	01	02	04	11
1999	01	02	05	5
1999	01	02	06	20
1999	01	02	07	43
1999	01	02	08	72
1999	01	02	09	98
1999	01	02	10	112
1999	01	02	11	111
1999	01	02	12	95
1999	01	02	13	72
1999	01	02	14	43
1999	01	02	15	24
1999	01	02	16	12
1999	01	02	17	16
1999	01	02	18	35
1999	01	02	19	72
1999	01	02	20	106
1999	01	02	21	139
1999	01	02	22	160
1999	01	02	23	166
1999	01	03	00	156
1999	01	03	01	127
1999	01	03	02	89
1999	01	03	03	51
1999	01	03	04	17
1999	01	03	05	-
1999	01	03	06	-
1999	01	03	07	15
1999	01	03	08	43
1999	01	03	09	70
1999	01	03	10	96
1999	01	03	11	107
1999	01	03	12	100
1999	01	03	13	87
1999	01	03	14	61
1999	01	03	15	40
1999	01	03	16	19
1999	01	03	17	11
1999	01	03	18	18
1999	01	03	19	39
1999	01	03	20	74
1999	01	03	21	110
1999	01	03	22	143
1999	01	03	23	162
1999	01	04	00	163
1999	01	04	01	145
1999	01	04	02	114
1999	01	04	03	79
1999	01	04	04	38
1999	01	04	05	12
1999	01	04	06	-
1999	01	04	07	3
1999	01	04	08	24
1999	01	04	09	45
1999	01	04	10	77
1999	01	04	11	98
1999	01	04	12	105
1999	01	04	13	99
1999	01	04	14	86
1999	01	04	15	61
1999	01	04	16	35
1999	01	04	17	16
1999	01	04	18	15
1999	01	04	19	27
1999	01	04	20	46
1999	01	04	21	77
1999	01	04	22	113
1999	01	04	23	139
1999	01	05	00	159
1999	01	05	01	150
1999	01	05	02	131
1999	01	05	03	100
1999	01	05	04	61
1999	01	05	05	33
1999	01	05	06	6
1999	01	05	07	-
1999	01	05	08	11
1999	01	05	09	28
1999	01	05	10	55
1999	01	05	11	83
1999	01	05	12	95
1999	01	05	13	102
1999	01	05	14	95
1999	01	05	15	78
1999	01	05	16	58
1999	01	05	17	35
1999	01	05	18	21
1999	01	05	19	22
1999	01	05	20	34
1999	01	05	21	-
1999	01	05	22	86
1999	01	05	23	118
1999	01	06	00	138
1999	01	06	01	148
1999	01	06	02	140
1999	01	06	03	117
1999	01	06	04	89
1999	01	06	05	55
1999	01	06	06	29
1999	01	06	07	13
1999	01	06	08	8
1999	01	06	09	18
1999	01	06	10	34
1999	01	06	11	63
1999	01	06	12	81
1999	01	06	13	93
1999	01	06	14	99
1999	01	06	15	89
1999	01	06	16	73
1999	01	06	17	54
1999	01	06	18	37
1999	01	06	19	29
1999	01	06	20	29
1999	01	06	21	40
1999	01	06	22	63
1999	01	06	23	91
1999	01	07	00	115
1999	01	07	01	130
1999	01	07	02	132
1999	01	07	03	121
1999	01	07	04	102
1999	01	07	05	76
1999	01	07	06	50
1999	01	07	07	28
1999	01	07	08	14
1999	01	07	09	14
1999	01	07	10	25
1999	01	07	11	43
1999	01	07	12	61
1999	01	07	13	81
1999	01	07	14	90
1999	01	07	15	89
1999	01	07	16	85
1999	01	07	17	70
1999	01	07	18	53
1999	01	07	19	42
1999	01	07	20	32
1999	01	07	21	36
1999	01	07	22	47
1999	01	07	23	67
1999	01	08	00	87
1999	01	08	01	107
1999	01	08	02	116
1999	01	08	03	114
1999	01	08	04	105
1999	01	08	05	87
1999	01	08	06	64
1999	01	08	07	43
1999	01	08	08	30
1999	01	08	09	21
1999	01	08	10	23
1999	01	08	11	36
1999	01	08	12	49
1999	01	08	13	67
1999	01	08	14	83
1999	01	08	15	92
1999	01	08	16	94
1999	01	08	17	89
1999	01	08	18	78
1999	01	08	19	61
1999	01	08	20	52
1999	01	08	21	43
1999	01	08	22	48
1999	01	08	23	57
1999	01	09	00	69
1999	01	09	01	88
1999	01	09	02	102
1999	01	09	03	106
1999	01	09	04	105
1999	01	09	05	99
1999	01	09	06	85
1999	01	09	07	68
1999	01	09	08	50
1999	01	09	09	35
1999	01	09	10	33
1999	01	09	11	31
1999	01	09	12	46
1999	01	09	13	59
1999	01	09	14	74
1999	01	09	15	87
1999	01	09	16	97
1999	01	09	17	96
